"","Clicks","Max_PPRL_dB","CumSEL_dB","secs_per_bin","son_prop","StDvSEL","StDv_sonprop_hr","SPres","JD","mean.chl","mean.npp","mean.sst","ssh","t5","t500","t1000","s5","s500","s1000","curSp5","curSp500","curSp1000","curDir5","curDir500","curDir1000"
"Clicks",0,0.196948549817229,0.186245103536138,0,0,0.175609167583671,0,0.185209337323355,0.514288528580259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Max_PPRL_dB",0,0,0.998458393407465,0.189028097239767,0.189028097239767,0.930458981925762,0.281095246499315,1,0,0,0,0,0,0,0,0,0.129105402112727,0,0,0,0,0,0,0,0
"CumSEL_dB",0,0.982177838427119,0,0.387067900893657,0.387067900893656,0.846383829939309,0.453670530379986,0.984032479144789,0.28294868449951,0,0.214413599297704,0.135253802556032,0,0,0,0,0,0,0,0,0,0,0,0,0.184370881142813
"secs_per_bin",0,0.591001798277725,0.601380490920426,0,0.937779077540401,0.684807444234347,0.848035721815538,0.547198835101668,0.275122197069029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"son_prop",0,0.591001798277725,0.601380490920426,0.9377790775404,0,0.684807444234347,0.848035721815538,0.547198835101668,0.275122197069029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StDvSEL",0,0.778995038565467,0.776693244002602,0.381648737200623,0.381648737200623,0,0.439674662750481,0.73553602865896,0,0,0,0,0,0,0,0,0,0.10056158169617,0,0,0,0,0,0,0.152143837515556
"StDv_sonprop_hr",0,0.660072743393765,0.666658236429609,0.825348439248547,0.825348439248547,0.779668452692089,0,0.617031600821435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPres",0,0.990571858317529,0.992661779040848,0.371787912125309,0.371787912125309,0.728944444574829,0.452832282743372,0,0.185579097897895,0,0,0,0,0,0,0,0,0,0,0,0,0.096947279937473,0,0,0
"JD",0,0,0,0,0,0,0,0,0,0,0,0,0,0.537805426607812,0,0,0.475204859536188,0,0.153571149864448,0,0,0.542676016655899,0,0,0
"mean.chl",0,0,0,0,0,0,0,0,0,0,0.26799163729488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean.npp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338843016033748,0,0,0,0
"mean.sst",0,0.244895905892687,0.249378761026014,0,0,0.167398768229934,0,0.259839116361634,0.41949093685874,0,0,0,0,0.259417552483385,0,0,0,0,0,0,0,0,0,0,0
"ssh",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1241186879486,0.104891574605483,0,0.204847572178969,0,0.107540220786335,0,0,0.199718051770453,0.132430711445454,0,0
"t5",0,0.143041656591331,0.140896678603322,0,0,0.157253835145571,0,0.131230502576231,0.342482166903538,0,0,0.14181540412195,0.139491404954092,0,0,0,0.669572105773539,0.237665974011255,0.530119344185758,0,0.282651256515509,0.436226171851591,0,0,0
"t500",0,0.273354650853695,0.277523719758641,0,0,0,0,0.289965202595105,0.137957653479516,0,0,0,0.174794550941992,0.428623804566211,0,0,0.13809645751158,0.432293060232193,0.303803295070209,0,0,0.17303227945271,0,0,0
"t1000",0.134336579732768,0,0,0,0,0,0,0,0,0,0,0.134194323615963,0,0.533683422688015,0.228131521904172,0,0.400767789558897,0.262260243355584,0.324636987689484,0,0.398265297855851,0.265542054315909,0.101984345391726,0,0
"s5",0.15734478339564,0,0,0,0,0,0,0,0.161896797783396,0.266497880327074,0,0,0.193573703174259,0.531397046204248,0,0,0,0.210212376350916,0.352322444970184,0,0,0.502293261462604,0,0,0
"s500",0,0,0,0,0,0,0,0,0.173127109930796,0,0,0,0,0.254211220217097,0.435182624313188,0.132503576273261,0.114489996053686,0,0,0,0.233688023705146,0,0,0,0
"s1000",0,0,0,0,0,0,0,0,0,0,0,0,0.325602559070501,0.419288687880725,0,0.61763041446877,0.395418705588743,0,0,0,0.165587129708747,0.153391833668966,0,0,0
"curSp5",0,0,0,0.376256877160555,0.376256877160555,0,0.248184459284478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143724598444619,0
"curSp500",0,0,0,0,0,0,0,0,0,0,0,0.211691202133523,0,0.423981812353415,0,0.257807544255139,0,0,0.320801353588286,0,0,0.203796618305416,0,0.191954680554885,0.162115732364057
"curSp1000",0.125063809358315,0,0,0.130094596921786,0.130094596921786,0,0,0,0,0,0,0,0,0.467665357919101,0.148003049429804,0,0.457311457760931,0,0.467075872486952,0,0.192184635489495,0,0,0,0
"curDir5",0,0,0,0,0,0,0,0,0,0,0,0.108523153001442,0.178949468267797,0.174457354062397,0,0,0,0.136411801315074,0,0,0.192199952411376,0,0,0,0
"curDir500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530814060400887,0,0,0,0.120713943649206
"curDir1000",0.325460803074549,0,0,0.169291367450199,0.169291367450198,0.164345214032575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
