"","Clicks","Max_PPRL_dB","CumSEL_dB","secs_per_bin","son_prop","StDvSEL","StDv_sonprop_hr","SPres","JD","mean.chl","mean.npp","mean.sst","ssh","t5","t500","t1000","s5","s500","s1000","curSp5","curSp500","curSp1000","curDir5","curDir500","curDir1000"
"Clicks",0,0,0,0,0,0,0,0,0.0877049273426957,0,0,0,0,0,0,0,0,0,0,0.0959419211074777,0.0842658723373403,0,0,0,0
"Max_PPRL_dB",0,0,0.983894873639483,0.626511073875053,0.626511073875052,0.889123568432263,0.735277112277225,0.983586224214795,0,0.129422880039361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CumSEL_dB",0,0.987242574824944,0,0.672566905993735,0.672566905993737,0.896038178345989,0.793788176642129,0.986862860322926,0,0.076937786618827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"secs_per_bin",0,0.542215257177937,0.540915751270352,0,0.957512134824184,0.567709193131944,0.898659712921415,0.445432509869115,0,0,0.0758528822156467,0,0,0,0,0,0,0,0,0,0.103563569815152,0,0,0,0
"son_prop",0,0.542215257177938,0.540915751270351,0.957512134824184,0,0.567709193131944,0.898659712921415,0.445432509869115,0,0,0.0758528822156467,0,0,0,0,0,0,0,0,0,0.103563569815152,0,0,0,0
"StDvSEL",0,0.914454537534394,0.914224455830709,0.405385567824408,0.405385567824408,0,0.573122303262571,0.890590170466344,0,0,0,0,0,0,0,0,0,0,0.0860950538356877,0,0,0,0,0,0
"StDv_sonprop_hr",0,0.654127614607608,0.656421226477936,0.909879572965148,0.909879572965146,0.673378907899638,0,0.573184058669611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPres",0,0.982377148014056,0.986004453248679,0.346820383185838,0.346820383185839,0.823210804378619,0.498167347737819,0,0,0.0841535260151721,0,0,0,0,0,0.0929494762440694,0.0986123034222001,0,0,0,0,0,0,0,0
"JD",0.0937446822432546,0.128647142548131,0.123362782604065,0,0,0,0,0.115819764240205,0,0,0.0579916742689851,0.10451496319899,0.0849117572008397,0.427308958110528,0.153236897883302,0,0.184922067459781,0,0,0,0,0.155241126774526,0,0,0.0879580602105757
"mean.chl",0,0,0,0,0,0,0,0,0,0,0,0,0.0776752168606518,0,0.0864810513732831,0,0,0,0,0,0,0,0,0,0
"mean.npp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123095614497541,0,0
"mean.sst",0,0,0,0,0,0,0,0,0.302146724141169,0,0,0,0,0.230729439790793,0,0,0,0,0,0,0,0,0.0836985001793497,0,0
"ssh",0,0,0,0,0,0,0,0,0,0.0886709770083223,0,0.15009106273947,0,0.388664893801074,0.176997336240774,0,0.133331234478861,0.17376903766567,0,0.0791081340934708,0.105873152310304,0.174124857520644,0.0924530924798686,0.0645040983271634,0
"t5",0,0,0,0,0,0,0,0,0.0686815132037278,0,0,0,0,0,0.166620503887773,0,0.38186136029935,0,0,0,0.0816826318295458,0.200311194695222,0,0,0
"t500",0,0,0,0.0799601948183284,0.0799601948183287,0,0,0,0,0,0,0,0.186050083243041,0.313158604689191,0,0.115119906118423,0.185156488060261,0.338873360953514,0.388262491941237,0,0.287326791439691,0.395335929140587,0,0.13754229164931,0.315356244370165
"t1000",0,0.0912704900774195,0.095802162698709,0,0,0,0,0.107132361620106,0,0,0,0,0.0790284763097338,0.382262906956742,0.383065490110741,0,0.373312015208614,0.149367913532111,0.722928227232053,0,0.218104036078375,0.18147015905288,0,0,0.124819419127233
"s5",0,0,0,0,0,0,0,0,0.124053959428411,0,0,0,0,0.512645315158524,0.175655878107137,0,0,0.153312115104448,0,0,0,0.0918102330568267,0,0,0
"s500",0,0,0,0,0,0,0,0,0,0,0,0,0.0768964616818025,0.248948845083791,0.236416354314672,0,0.130050448654977,0,0,0,0,0.123702986773655,0,0,0.191722408729527
"s1000",0,0.0835444583602893,0.0826582879010249,0,0,0.0897244461157491,0,0,0,0,0,0,0,0.272343918086865,0.342489926443796,0.59288774381084,0.104505282516456,0.0777873348915001,0,0,0.105398919527513,0.315735043646559,0,0.133831372993372,0.220965482479145
"curSp5",0,0,0,0,0,0,0,0,0.102585314595601,0.0699144815764718,0,0,0.0721034265569755,0.145133020076559,0.136638288998324,0,0,0,0,0,0,0,0,0,0
"curSp500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083266420099681,0,0,0,0,0,0.246539804425924,0,0,0
"curSp1000",0,0.119508246888474,0.122665440039255,0,0,0.116265896864336,0,0.127350271526154,0,0,0,0,0,0.22525736306393,0.141660541672165,0,0.181289686175926,0,0,0,0.164009370983812,0,0,0,0.121710018883597
"curDir5",0,0.118915240243253,0.118340157045268,0,0,0.125172500383301,0,0.109586589994646,0.108395367066002,0,0,0,0.142423566085883,0.107396207030776,0,0,0,0,0,0,0,0,0,0,0
"curDir500",0,0,0,0,0,0,0,0,0.078525172188855,0,0,0,0,0.150749571690686,0.209518432733797,0.0707508525072238,0,0.0956838843296117,0.103714525493287,0,0.393341199190186,0.0861922970122411,0,0,0.188106939926059
"curDir1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0.124941677582165,0.236120284801975,0.139532560268887,0.0792096553147186,0.0738662254814007,0.143870691563427,0,0.135546272689849,0.140275997177985,0,0.137520199559401,0
