"","Clicks","Max_PPRL_dB","CumSEL_dB","secs_per_bin","son_prop","StDvSEL","StDv_sonprop_hr","SPres","JD","mean.chl","mean.npp","mean.sst","ssh","t5","t500","t1000","s5","s500","s1000","curSp5","curSp500","curSp1000","curDir5","curDir500","curDir1000"
"Clicks",0,0.208571545362156,0.2028669240074,0.134363541363142,0.134363541363142,0.132270144189199,0.147803795177911,0.193468317889229,0,0,0,0,0,0,0.130663883349702,0,0,0,0,0,0,0,0,0,0
"Max_PPRL_dB",0,0,0.998660186426477,0.655248784194171,0.655248784194172,0.846242163757178,0.71150610489327,1,0.0824251578083941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CumSEL_dB",0,0.960270533119226,0,0.309413184169816,0.309413184169816,0.630381739830723,0.418695312504245,0.961216024667414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"secs_per_bin",0,0.926316473499808,0.931655513510621,0,0.999179758881987,0.743880122281963,0.913349769920062,0.915896514613202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"son_prop",0,0.926316473499808,0.931655513510621,0.999179758881986,0,0.743880122281963,0.913349769920062,0.915896514613202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StDvSEL",0,0.808457804464327,0.800691327290155,0.480317005727892,0.480317005727892,0,0.572806850781947,0.776529504151381,0,0,0,0,0,0,0,0.131949468380851,0,0,0.12860260030796,0,0,0,0,0,0
"StDv_sonprop_hr",0,0.841493663135063,0.845200273242255,0.920871609359076,0.920871609359077,0.702297607946839,0,0.814375389489264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076519185506875,0,0
"SPres",0.0950402509286462,0.991833519112911,0.993909406904735,0.386054122450687,0.386054122450687,0.723334530310063,0.457580849177139,0,0,0,0,0,0,0,0,0,0,0,0,0.0547481660953701,0,0,0,0,0
"JD",0,0,0,0,0,0,0,0,0,0,0,0,0.10897806676243,0.471273611006361,0,0.246900322378408,0.177444154076634,0,0,0.203830819345246,0,0.136570203297627,0,0,0
"mean.chl",0,0,0,0,0,0,0,0,0.134304610068098,0,0.309487962521094,0,0,0,0,0,0,0,0,0,0,0,0,0.199196212724068,0
"mean.npp",0.135795490282418,0,0,0,0,0,0,0,0,0,0,0.141672602871806,0,0,0,0,0,0,0,0,0,0,0,0,0.128403173192506
"mean.sst",0,0,0,0,0,0,0,0,0.115422933741357,0,0,0,0.10368009044591,0.160621092308696,0.111177286568743,0,0,0,0.0763969054980022,0,0,0,0,0,0
"ssh",0,0,0,0,0.0821016497840469,0,0,0,0,0,0,0,0,0.221361063635022,0.224669230189516,0.293307123410677,0.156188035834047,0.143802133127558,0.0987933587695168,0.144640173048813,0.128855324690989,0.175054641945962,0.122099180177566,0.174350480765711,0.198042080258649
"t5",0,0.0882710607116,0.0893291662238708,0,0,0.0940932765172083,0.0930812987982777,0.0898866810831202,0.175450609031325,0,0,0,0.138583304711521,0,0,0,0.360968186961477,0,0,0,0,0.483213996986193,0,0,0
"t500",0,0,0,0,0,0,0,0,0.248597585196788,0,0.156465614058969,0,0.27101877704301,0.289050359819567,0,0.523707316307828,0,0,0.111268712822399,0,0.18970680878217,0.387986846541275,0,0.278338750088577,0.0742793913796185
"t1000",0,0,0,0,0,0,0,0,0.174415387340535,0.196889031796116,0,0,0.0963525262919212,0.284384604084922,0,0,0.136565859501477,0,0.190466686121651,0.0952087645513016,0.15004168140191,0.379697139556774,0,0.180258239334076,0.163806302480867
"s5",0,0,0,0,0,0,0,0,0.208101081620925,0,0,0,0,0.438610316966161,0,0.242766252831595,0,0,0.117492235601436,0.0686218006248522,0,0.307170736883366,0,0.076162472527392,0
"s500",0,0,0,0,0,0,0,0,0.199157585768935,0,0.0984239733695374,0,0.201295520481096,0.377261582555655,0.278735742456755,0.156521655076334,0.425984104199959,0,0.0940480580377459,0,0.154516372987735,0.411892458865998,0,0.239509358142958,0.132220881064503
"s1000",0,0,0,0,0,0,0,0,0,0,0,0,0.230929088597916,0.269027882701698,0,0.517279229274257,0.3377777925359,0,0,0,0,0.436111377353009,0.106752233384853,0.257275672339528,0.221233504776028
"curSp5",0,0,0,0.10034136459888,0,0,0.104792716628492,0,0,0,0,0,0,0.0736892564258747,0,0,0,0,0,0,0.0946135632917594,0,0.0850660268521956,0,0
"curSp500",0,0,0,0,0,0,0,0,0,0.14447008578625,0,0,0,0,0,0,0,0,0,0,0,0,0.0910922403141511,0,0
"curSp1000",0,0,0,0,0,0,0,0,0,0,0.0988936259207719,0,0.105966780082839,0.357457785418005,0.141115642436716,0.191295391049453,0.322175334874638,0.146721821340941,0.198483626258025,0,0,0,0,0.11871124270462,0.172442226728142
"curDir5",0,0.13489110762547,0.130575502364259,0,0,0,0,0.136151032878235,0,0,0,0.0854645427046581,0.0790999835070336,0.174844300261456,0,0,0,0,0,0,0,0,0,0,0
"curDir500",0,0,0,0,0,0,0,0,0,0,0,0,0.107776634549095,0,0.178487771028717,0.217028961212824,0,0.136039084535272,0.186229324940092,0,0.228069691107488,0.0934108479356019,0,0,0.139981684356838
"curDir1000",0,0,0,0,0,0,0,0,0,0,0,0,0.203074655416874,0.105684494956953,0.190111479950788,0.0903715738046762,0.126320303857002,0.108411932519493,0.212759249579018,0,0.103503061522791,0.156026770957498,0,0.159574071264584,0
