"","Clicks","Max_PPRL_dB","CumSEL_dB","secs_per_bin","son_prop","StDvSEL","StDv_sonprop_hr","SPres","JD","mean.chl","mean.npp","mean.sst","ssh","t5","t500","t1000","s5","s500","s1000","curSp5","curSp500","curSp1000","curDir5","curDir500","curDir1000"
"Clicks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Max_PPRL_dB",0,0,0.983411158314926,0.468540032365273,0.468540032365273,0.831490457740873,0.652343108254559,0.993045833317224,0.226350225910679,0,0,0,0.111074341578491,0.129612429874598,0.108567791135389,0.138628634730959,0,0.13778719667859,0,0,0,0,0,0,0
"CumSEL_dB",0,0.982031750495289,0,0.49486815551095,0.494868155510949,0.836611136977882,0.681144801513483,0.993351431073396,0.229611877736401,0,0,0,0.125234303267838,0.135184214162427,0.0812427733265664,0.133556726271044,0,0.148643147695928,0,0,0,0,0,0,0
"secs_per_bin",0.142287442586289,0.490049944591845,0.49449119519443,0,0.957309314240196,0.568498489877054,0.890022345978563,0.359170826548377,0.174910936553771,0,0,0,0,0,0,0,0.103407618473953,0,0,0,0,0,0,0,0
"son_prop",0.142287442586289,0.490049944591845,0.494491195194431,0.957309314240197,0,0.568498489877055,0.890022345978563,0.359170826548377,0.174910936553772,0,0,0,0,0,0,0,0.103407618473953,0,0,0,0,0,0,0,0
"StDvSEL",0.121660548386424,0.967476568469532,0.967557591589716,0.279433261676827,0.279433261676826,0,0.576983665520793,0.955051449844212,0.0919252024981485,0,0,0,0,0,0,0.0816324528455382,0,0,0,0,0,0,0,0,0
"StDv_sonprop_hr",0,0.574019953887169,0.575021161131959,0.865940284755405,0.865940284755404,0.647684161013923,0,0.428335323286759,0.161511721168197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPres",0.212563155835576,0.97048985536089,0.974723079313084,0.294414737140151,0.294414737140149,0.671698408831624,0.474266286285694,0,0,0.0645312333731647,0,0,0,0.0626314809460882,0,0.065324633746139,0,0.134535141396711,0,0,0,0,0,0,0
"JD",0,0.145322461162376,0.15630898397897,0,0,0.0873017736852333,0.147506210759986,0.143742218731063,0,0,0,0,0.196550455865549,0.435048042577841,0.191826501253992,0.180446259382496,0,0.302493796414251,0,0,0.138754089267921,0,0,0,0.0790257021118212
"mean.chl",0,0,0,0,0,0.10957674347489,0,0,0.418053766975759,0,0.11750272197087,0,0,0,0,0.0894981787334972,0,0,0,0,0.0835424140300641,0,0,0,0
"mean.npp",0,0,0,0,0,0,0,0,0,0,0,0,0,0.116110905845319,0,0,0,0,0,0,0,0,0,0,0
"mean.sst",0,0.117718423983786,0.108621363465665,0,0,0,0,0.112245075840142,0,0,0,0,0,0.15024461439786,0,0,0,0,0,0,0,0,0,0.114040591440147,0
"ssh",0,0,0,0,0,0,0,0,0,0,0,0,0,0.402947233459052,0.0829150866382191,0,0,0,0,0.14132842806503,0.33595663256681,0,0,0,0.0903924330968184
"t5",0,0,0,0,0,0,0,0,0.160930713615767,0,0,0,0.238363847652798,0,0.273798592229202,0,0.243816714788162,0,0,0,0,0,0,0,0
"t500",0,0,0,0,0,0,0,0,0,0,0,0,0.132918255837508,0.218962595000278,0,0.16037857559845,0.135897757068342,0.415707601838288,0.209139568133952,0,0.172770215716931,0.114570730784808,0,0,0.20216591887479
"t1000",0,0,0,0.136378537856506,0.136378537856505,0,0,0,0,0,0,0,0,0.120378067505106,0,0,0,0.145039432182163,0.424991751117403,0,0.240264654975543,0.270074721400414,0.0859572486818415,0,0.211130773239174
"s5",0,0,0,0,0,0,0,0,0,0,0,0,0,0.359678230410445,0.107635173838789,0,0,0,0.0714241869084574,0,0.108419825025097,0,0,0,0
"s500",0,0.0807537314056814,0,0,0,0,0,0,0.120230748261647,0,0,0,0,0.287009089235164,0.292238278538828,0,0.135260559138755,0,0.0629197404238242,0,0.248048633324961,0,0,0,0
"s1000",0,0,0,0.150346219522017,0.150346219522017,0,0.144237289249612,0,0,0,0,0,0.0683028021429998,0.0812597575118088,0,0.204831120356128,0,0.119951763589098,0,0,0.0853048024952971,0,0,0,0.110542595599148
"curSp5",0,0,0,0.130909185850413,0.130909185850413,0,0.133719458091872,0,0,0.104444633665021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"curSp500",0,0,0,0.155407102008218,0.155407102008218,0,0,0,0.0785110912860474,0,0,0,0,0.160455039266083,0,0,0,0.153660721730516,0.0750793744588279,0,0,0.127624690473534,0,0,0
"curSp1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903958410135039,0,0,0,0,0,0,0,0,0
"curDir5",0,0,0,0,0,0,0,0,0.0826786804251746,0,0,0,0.123290581779768,0.100757068304284,0,0,0,0,0,0.0763781197226309,0,0,0,0,0
"curDir500",0,0,0,0,0,0,0,0,0.269086968162911,0,0,0,0,0.0839405189970906,0,0.09473881941375,0,0.0657321304522223,0.0740971428946626,0,0.197160727782633,0.0701692208905475,0,0,0.180516417613305
"curDir1000",0.100582122667499,0,0,0,0,0,0,0,0.104751739180323,0,0,0,0.0755232306672653,0,0,0.228815455818284,0,0,0,0,0,0.219638162999515,0,0.108535236177045,0
